"","Species","SpeciesID","Week","Weight_g","Porometer","PercentBrown","Dead"
"1259","PIED","PIED29","21.0",NA,NA,NA,"dead"
"1260","PIED","PIED29","21.5",NA,NA,NA,"dead"
"1261","PIED","PIED29","22.0",NA,NA,NA,"dead"
"1262","PIED","PIED29","22.5",NA,NA,NA,"dead"
"1263","PIED","PIED29","3.0",691,NA,10,"alive"
"1264","PIED","PIED29","3.5",NA,NA,10,"alive"
"1265","PIED","PIED29","4.0",648,NA,10,"alive"
"1266","PIED","PIED29","4.5",NA,NA,25,"alive"
"1267","PIED","PIED29","5.0",580,NA,25,"alive"
"1268","PIED","PIED29","5.5",NA,NA,25,"alive"
"1269","PIED","PIED29","6.0",528,NA,25,"alive"
"1270","PIED","PIED29","6.5",NA,NA,25,"alive"
"1271","PIED","PIED29","7.0",476,NA,25,"alive"
"1272","PIED","PIED29","7.5",NA,NA,25,"alive"
"1273","PIED","PIED29","8.0",414,NA,25,"alive"
"1274","PIED","PIED29","8.5",NA,NA,25,"alive"
"1275","PIED","PIED29","9.0",395,NA,25,"alive"
"1276","PIED","PIED29","9.5",NA,NA,NA,"alive"
"1277","PIED","PIED30","1.0",807,110.6,10,"alive"
"1278","PIED","PIED30","1.5",NA,NA,10,"alive"
"1279","PIED","PIED30","10.0",441,58.8,10,"alive"
"1280","PIED","PIED30","10.5",NA,NA,10,"alive"
"1281","PIED","PIED30","11.0",420,66.9,10,"alive"
"1282","PIED","PIED30","11.5",NA,NA,10,"alive"
"1283","PIED","PIED30","12.0",412,62.7,10,"alive"
"1284","PIED","PIED30","12.5",NA,NA,25,"alive"
"1285","PIED","PIED30","13.0",407,57.6,25,"alive"
"1286","PIED","PIED30","13.5",NA,NA,25,"dead"
"1287","PIED","PIED30","14.0",404,79.2,50,"dead"
"1288","PIED","PIED30","14.5",NA,NA,50,"dead"
"1289","PIED","PIED30","15.0",403,74.1,50,"dead"
"1290","PIED","PIED30","15.5",NA,NA,50,"dead"
"1291","PIED","PIED30","16.0",401,64.7,90,"dead"
"1292","PIED","PIED30","16.5",NA,NA,NA,"dead"
"1293","PIED","PIED30","17.0",NA,NA,NA,"dead"
"1294","PIED","PIED30","17.5",NA,NA,NA,"dead"
"1295","PIED","PIED30","18.0",NA,NA,NA,"dead"
"1296","PIED","PIED30","18.5",NA,NA,NA,"dead"
"1297","PIED","PIED30","19.0",NA,NA,NA,"dead"
"1298","PIED","PIED30","19.5",NA,NA,NA,"dead"
"1299","PIED","PIED30","2.0",793,183.1,10,"alive"
"1300","PIED","PIED30","2.5",NA,NA,10,"alive"
"1301","PIED","PIED30","20.0",NA,NA,NA,"dead"
"1302","PIED","PIED30","20.5",NA,NA,NA,"dead"
"1303","PIED","PIED30","21.0",NA,NA,NA,"dead"
"1304","PIED","PIED30","21.5",NA,NA,NA,"dead"
"1305","PIED","PIED30","22.0",NA,NA,NA,"dead"
"1306","PIED","PIED30","22.5",NA,NA,NA,"dead"
"1307","PIED","PIED30","3.0",753,253.7,10,"alive"
"1308","PIED","PIED30","3.5",NA,NA,10,"alive"
"1309","PIED","PIED30","4.0",702,186.4,10,"alive"
"1310","PIED","PIED30","4.5",NA,NA,10,"alive"
"1311","PIED","PIED30","5.0",649,122.3,10,"alive"
"1312","PIED","PIED30","5.5",NA,NA,10,"alive"
"1313","PIED","PIED30","6.0",611,129.1,10,"alive"
