Phase,Chamber,ScientificName,CommonName,Species,SpeciesID,Treatment_temp,Treatment_water,PorometerSubset,SampleSize_Weekly_Weight,BasalDia_mm,Height_mm,Whorls,Biomass_g,Week,Weight_g,Porometer,PercentBrown,Dead,Dead_Count,Heatwave_graph,Heatwave,WeightMin,WeightMax,Weight_Est,WaterWeight_Base,WaterWeight_Calc,PercentWater,SD_Weight_Total,SD_Weight_Water,Stress_to_Dead_Weight,Stress_Week_Weight,Stress_Week_Avg_Weight
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,14,383,75.6,90,dead,1,Pinyon Pine_heatwave,yes,382,736,383,354,1,0.282485875706215,39.3532918438517,3.25859188187652,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,15,382,NA,90,dead,1,Pinyon Pine_heatwave,yes,382,736,382,354,0,0,38.8969962309363,2.36809939336213,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,16,NA,NA,NA,dead,1,Pinyon Pine_heatwave,yes,382,736,382,354,0,0,38.6640047480586,1.39548142984872,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,17,NA,NA,NA,dead,1,Pinyon Pine_heatwave,yes,382,736,382,354,0,0,38.5848006617277,1.18210338847862,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,0,4.21,260,4,4.83,18,NA,NA,NA,dead,1,Pinyon Pine_heatwave,yes,382,736,NA,354,NA,NA,NA,NA,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,15,4.21,260,4,4.83,19,NA,NA,NA,dead,1,Pinyon Pine_heatwave,yes,382,736,382,354,0,0,42.8782329060195,0,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,17,4.21,260,4,4.83,20,NA,NA,NA,dead,1,Pinyon Pine_heatwave,yes,382,736,382,354,0,0,40.8239585076618,0.485071250072666,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,21,NA,NA,NA,dead,1,Pinyon Pine_heatwave,yes,382,736,382,354,0,0,38.486190277881,0.670820393249937,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,22,NA,NA,NA,dead,1,Pinyon Pine_heatwave,yes,382,736,382,354,0,0,38.4175124540605,0,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,1,705,99.1,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,705,NA,NA,NA,44.2119893241641,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,2,711,132.1,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,711,NA,NA,NA,43.5717798580687,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,3,655,102.8,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,655,NA,NA,NA,48.3993801613202,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,4,595,NA,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,595,NA,NA,NA,53.6376733276155,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,5,638,207,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,638,NA,NA,NA,63.7079272932341,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,6,593,81.3,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,593,NA,NA,NA,64.0804182258512,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,7,634,76,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,634,NA,NA,NA,63.6616053834648,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,8,429,146.3,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,429,NA,NA,NA,41.4632367284562,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,9,523,81.8,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,523,NA,NA,NA,39.6648458965871,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,10,580,115.4,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,580,NA,NA,NA,37.8919516520329,NA,NA,NA,3.79323880382056
