Species,Treatment_temp,Stress_to_Dead_Weight,SpeciesID
PSME,Ambient,10.1,PSME33
PSME,Ambient,11.2,PSME34
PSME,Ambient,11.6,PSME41
PSME,Ambient,11.9,PSME48
PSME,Ambient,12,PSME38
PSME,Ambient,12.5,PSME44
PSME,Ambient,12.5,PSME46
PSME,Ambient,12.7,PSME50
PSME,Ambient,12.8,PSME35
PSME,Ambient,13.1,PSME31
PSME,Ambient,13.1,PSME36
PSME,Ambient,13.2,PSME40
PSME,Ambient,13.2,PSME43
PSME,Ambient,13.3,PSME39
PSME,Ambient,13.3,PSME42
PSME,Ambient,13.6,PSME45
PSME,Ambient_HW,7.6,PSME09
PSME,Ambient_HW,7.8,PSME08
PSME,Ambient_HW,7.9,PSME12
PSME,Ambient_HW,7.9,PSME21
PSME,Ambient_HW,9,PSME07
PSME,Ambient_HW,9.2,PSME22
PSME,Ambient_HW,9.3,PSME18
PSME,Ambient_HW,10.2,PSME19
PSME,Ambient_HW,10.5,PSME13
PSME,Ambient_HW,10.6,PSME10
PSME,Ambient_HW,11.2,PSME06
PSME,Ambient_HW,11.6,PSME15
PSME,Ambient_HW,11.6,PSME20
PSME,Ambient_HW,11.7,PSME17
PSME,Ambient_HW,11.8,PSME24
PSME,Ambient_HW,12.5,PSME11
PSME,Ambient_HW,13.3,PSME16
PSME,Ambient_HW,13.4,PSME14
PSME,Ambient_HW,13.4,PSME25
PSME,Ambient_HW,14.3,PSME23
