ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,PercentBrown_Est
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient,Drought,0,0,28
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient,Drought,0,0,28
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient,Drought,0,0,28
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient,Drought,0,0,28
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient,Watered,0,0,16
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient,Watered,0,0,16
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient,Watered,0,0,16
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient,Watered,0,0,16
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient,Watered,0,0,16
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Drought,1,5,39
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,24.5,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Drought,0,0,22
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,25,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Drought,1,5,33
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,25,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
