ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,Weight_Est,WeightMin,WeightMax,WaterWeight_Base,WaterWeight_Calc,PercentWater
Picea engelmannii,Engelman Spruce,PIEN,16,Ambient_HW,Watered,0,0,744,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,17,Ambient,Drought,0,0,339,313,676,363,27,7
Picea engelmannii,Engelman Spruce,PIEN,17,Ambient,Watered,0,0,568,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,17,Ambient_HW,Drought,0,0,418,396,816,421,23,5
Picea engelmannii,Engelman Spruce,PIEN,17,Ambient_HW,Watered,0,0,682,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,18,Ambient,Drought,8,40,333,313,676,363,20,5
Picea engelmannii,Engelman Spruce,PIEN,18,Ambient,Watered,0,0,630,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,18,Ambient_HW,Drought,7,35,412,396,816,421,16,4
Picea engelmannii,Engelman Spruce,PIEN,18,Ambient_HW,Watered,0,0,742,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,19,Ambient,Drought,12,60,324,313,676,363,12,3
Picea engelmannii,Engelman Spruce,PIEN,19,Ambient,Watered,0,0,559,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,19,Ambient_HW,Drought,10,50,405,396,816,421,10,2
Picea engelmannii,Engelman Spruce,PIEN,19,Ambient_HW,Watered,0,0,687,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,20,Ambient,Drought,15,75,319,313,676,363,6,2
Picea engelmannii,Engelman Spruce,PIEN,20,Ambient,Watered,0,0,591,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,20,Ambient_HW,Drought,19,95,400,396,816,421,4,1
Picea engelmannii,Engelman Spruce,PIEN,20,Ambient_HW,Watered,0,0,720,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,21,Ambient,Drought,18,90,316,313,676,363,2,1
Picea engelmannii,Engelman Spruce,PIEN,21,Ambient,Watered,0,0,533,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,21,Ambient_HW,Drought,20,100,397,396,816,421,1,0
Picea engelmannii,Engelman Spruce,PIEN,21,Ambient_HW,Watered,0,0,656,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,22,Ambient,Drought,19,95,314,313,676,363,1,0
Picea engelmannii,Engelman Spruce,PIEN,22,Ambient,Watered,0,0,624,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,22,Ambient_HW,Drought,20,100,396,396,816,421,0,0
Picea engelmannii,Engelman Spruce,PIEN,22,Ambient_HW,Watered,0,0,763,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,23,Ambient,Drought,20,100,313,313,676,363,0,0
Picea engelmannii,Engelman Spruce,PIEN,23,Ambient,Watered,0,0,568,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,23,Ambient_HW,Drought,20,100,396,396,816,421,0,0
Picea engelmannii,Engelman Spruce,PIEN,23,Ambient_HW,Watered,0,0,693,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,24,Ambient,Drought,20,100,313,313,676,363,0,0
Picea engelmannii,Engelman Spruce,PIEN,24,Ambient,Watered,0,0,596,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,24,Ambient_HW,Drought,20,100,396,396,816,421,0,0
Picea engelmannii,Engelman Spruce,PIEN,24,Ambient_HW,Watered,0,0,723,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,1,Ambient,Drought,0,0,759,365,759,394,394,100
Pinus flexilis,Limber Pine,PIFL,1,Ambient,Watered,0,0,773,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,1,Ambient_HW,Drought,0,0,706,348,706,358,358,100
Pinus flexilis,Limber Pine,PIFL,1,Ambient_HW,Watered,0,0,678,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,2,Ambient,Drought,0,0,750,365,759,394,385,98
Pinus flexilis,Limber Pine,PIFL,2,Ambient,Watered,0,0,767,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,2,Ambient_HW,Drought,0,0,698,348,706,358,350,98
Pinus flexilis,Limber Pine,PIFL,2,Ambient_HW,Watered,0,0,670,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,3,Ambient,Drought,0,0,743,365,759,394,378,96
Pinus flexilis,Limber Pine,PIFL,3,Ambient,Watered,0,0,769,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,3,Ambient_HW,Drought,0,0,689,348,706,358,341,95
