ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,Porometer_Est,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH
Picea engelmannii,Engelman Spruce,PIEN,2,Ambient,Watered,0,0,175.233333333333,25,38,17.9
Picea engelmannii,Engelman Spruce,PIEN,2,Ambient_HW,Drought,0,0,210.75,25,40.56,18.95
Picea engelmannii,Engelman Spruce,PIEN,2,Ambient_HW,Watered,0,0,233.566666666667,25.0333333333333,42.8666666666667,19.9666666666667
Picea engelmannii,Engelman Spruce,PIEN,3,Ambient,Drought,0,0,115.23,21.13,27.89,12.15
Picea engelmannii,Engelman Spruce,PIEN,3,Ambient,Watered,0,0,110.1,21.2,27.9666666666667,12.3
Picea engelmannii,Engelman Spruce,PIEN,3,Ambient_HW,Drought,0,0,145.53,20.96,32.08,14.02
Picea engelmannii,Engelman Spruce,PIEN,3,Ambient_HW,Watered,0,0,138.066666666667,20.9333333333333,31.3333333333333,13.5333333333333
Picea engelmannii,Engelman Spruce,PIEN,4,Ambient,Drought,0,0,132.68,25.21,31.34,12.79
Picea engelmannii,Engelman Spruce,PIEN,4,Ambient,Watered,0,0,91.0333333333333,25.2,25.8666666666667,10.7
Picea engelmannii,Engelman Spruce,PIEN,4,Ambient_HW,Drought,0,0,116.04,25.69,28.99,11.73
Picea engelmannii,Engelman Spruce,PIEN,4,Ambient_HW,Watered,0,0,119.033333333333,25.8333333333333,29,11.6333333333333
Picea engelmannii,Engelman Spruce,PIEN,5,Ambient,Drought,0,0,136.63,22.44,28.31,11.89
Picea engelmannii,Engelman Spruce,PIEN,5,Ambient,Watered,0,0,95.8,21.7666666666667,23.4333333333333,9.76666666666667
Picea engelmannii,Engelman Spruce,PIEN,5,Ambient_HW,Drought,0,0,127.19,22.48,28.16,11.98
Picea engelmannii,Engelman Spruce,PIEN,5,Ambient_HW,Watered,0,0,110.433333333333,22.1,25.8333333333333,10.9333333333333
Picea engelmannii,Engelman Spruce,PIEN,6,Ambient,Drought,0,0,101.43,22.84,25.28,11.35
Picea engelmannii,Engelman Spruce,PIEN,6,Ambient,Watered,0,0,84.2333333333333,22.8,22.0666666666667,9.73333333333333
Picea engelmannii,Engelman Spruce,PIEN,6,Ambient_HW,Drought,0,0,106.64,23.17,26.04,11.67
Picea engelmannii,Engelman Spruce,PIEN,6,Ambient_HW,Watered,0,0,94.3,23.1333333333333,24.2333333333333,10.9666666666667
Picea engelmannii,Engelman Spruce,PIEN,7,Ambient,Drought,0,0,98.05,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,7,Ambient,Watered,0,0,85.6666666666667,21.2333333333333,26.1,14
Picea engelmannii,Engelman Spruce,PIEN,7,Ambient_HW,Drought,0,0,100.48,21.31,27.75,14.34
Picea engelmannii,Engelman Spruce,PIEN,7,Ambient_HW,Watered,0,0,96.4,21.1333333333333,26.6333333333333,13.5
Picea engelmannii,Engelman Spruce,PIEN,8,Ambient,Drought,0,0,105.77,22.33,25.54,11.21
Picea engelmannii,Engelman Spruce,PIEN,8,Ambient,Watered,0,0,99.6,21.5666666666667,24.9666666666667,11.0666666666667
Picea engelmannii,Engelman Spruce,PIEN,8,Ambient_HW,Drought,0,0,106.07,20.98,25.65,11.21
Picea engelmannii,Engelman Spruce,PIEN,8,Ambient_HW,Watered,0,0,91.5,20.5333333333333,23.5,10.2666666666667
Picea engelmannii,Engelman Spruce,PIEN,9,Ambient,Drought,0,0,120.26,21.71,27.77,12.19
Picea engelmannii,Engelman Spruce,PIEN,9,Ambient,Watered,0,0,120.766666666667,21.8,27.7666666666667,12.1
Picea engelmannii,Engelman Spruce,PIEN,9,Ambient_HW,Drought,0,0,159.14,21.87,32.46,14.29
Picea engelmannii,Engelman Spruce,PIEN,9,Ambient_HW,Watered,0,0,128.733333333333,21.5333333333333,28.9333333333333,12.7
Picea engelmannii,Engelman Spruce,PIEN,10,Ambient,Drought,0,0,94.33,22.56,24.38,10.5
Picea engelmannii,Engelman Spruce,PIEN,10,Ambient,Watered,0,0,95.4333333333333,21.9333333333333,24.7333333333333,10.7333333333333
Picea engelmannii,Engelman Spruce,PIEN,10,Ambient_HW,Drought,0,0,125.06,22.86,28.86,12.44
Picea engelmannii,Engelman Spruce,PIEN,10,Ambient_HW,Watered,0,0,112.866666666667,22.8,27.1333333333333,11.6666666666667
Picea engelmannii,Engelman Spruce,PIEN,11,Ambient,Drought,0,0,104.53,19.71,24.91,10.53
Picea engelmannii,Engelman Spruce,PIEN,11,Ambient,Watered,0,0,105.566666666667,20.3,25.0666666666667,10.4666666666667
Picea engelmannii,Engelman Spruce,PIEN,11,Ambient_HW,Drought,0,0,102.96,19.16,24.19,10.19
Picea engelmannii,Engelman Spruce,PIEN,11,Ambient_HW,Watered,0,0,98.1,19.3333333333333,23.6666666666667,9.96666666666667
Picea engelmannii,Engelman Spruce,PIEN,12,Ambient,Drought,0,0,118.63,18.3,27.09,11.51
Picea engelmannii,Engelman Spruce,PIEN,12,Ambient,Watered,0,0,90.7333333333333,18.1333333333333,22.9,9.53333333333333
Picea engelmannii,Engelman Spruce,PIEN,12,Ambient_HW,Drought,0,0,124.8,18.04,28,11.79
Picea engelmannii,Engelman Spruce,PIEN,12,Ambient_HW,Watered,0,0,142.066666666667,18.4666666666667,30.5666666666667,13
Picea engelmannii,Engelman Spruce,PIEN,13,Ambient,Drought,0,0,63.9,21.92,17.64,7.21
Picea engelmannii,Engelman Spruce,PIEN,13,Ambient,Watered,0,0,65.5,21.8333333333333,17.8,7.23333333333333
Picea engelmannii,Engelman Spruce,PIEN,13,Ambient_HW,Drought,0,0,64.99,21.97,17.73,7.27
Picea engelmannii,Engelman Spruce,PIEN,13,Ambient_HW,Watered,0,0,75.8666666666667,22,19.8666666666667,8.26666666666667
Picea engelmannii,Engelman Spruce,PIEN,16,Ambient,Drought,0,0,28.44,20.62,17.48,8.18
Picea engelmannii,Engelman Spruce,PIEN,16,Ambient,Watered,0,0,46.3333333333333,20.6666666666667,24.1666666666667,11.1333333333333
Picea engelmannii,Engelman Spruce,PIEN,16,Ambient_HW,Drought,0,0,27.92,20.6,17.11,7.96
Picea engelmannii,Engelman Spruce,PIEN,16,Ambient_HW,Watered,0,0,43.5333333333333,20.5666666666667,23.2,10.8
Picea engelmannii,Engelman Spruce,PIEN,17,Ambient,Drought,0,0,75.17,20.41,22.87,9.95
Picea engelmannii,Engelman Spruce,PIEN,17,Ambient,Watered,0,0,83.7,20.7333333333333,25,11
Picea engelmannii,Engelman Spruce,PIEN,17,Ambient_HW,Drought,0,0,64.18,20.37,20.62,8.86
Picea engelmannii,Engelman Spruce,PIEN,17,Ambient_HW,Watered,0,0,79.1666666666667,20.3,24.0333333333333,10.5666666666667
Picea engelmannii,Engelman Spruce,PIEN,18,Ambient,Drought,3,15,50.4,19.47,15.58,6.52
Picea engelmannii,Engelman Spruce,PIEN,18,Ambient,Watered,0,0,86.7666666666667,19.3333333333333,23.6,10.4666666666667
Picea engelmannii,Engelman Spruce,PIEN,18,Ambient_HW,Drought,3,15,47.42,19.42,14.89,6.25
Picea engelmannii,Engelman Spruce,PIEN,18,Ambient_HW,Watered,0,0,69.1666666666667,19.5,20.0666666666667,8.73333333333333
Picea engelmannii,Engelman Spruce,PIEN,19,Ambient,Drought,5,25,18.25,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,19,Ambient,Watered,0,0,31.1,17.5,16.5666666666667,7.46666666666667
Picea engelmannii,Engelman Spruce,PIEN,19,Ambient_HW,Drought,4,20,16.18,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,19,Ambient_HW,Watered,0,0,43.1333333333333,17.5,21,9.56666666666667
Picea engelmannii,Engelman Spruce,PIEN,20,Ambient,Drought,7,35,19.65,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,20,Ambient,Watered,0,0,44.6,19.7333333333333,21.9,11
Picea engelmannii,Engelman Spruce,PIEN,20,Ambient_HW,Drought,9,45,14.75,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,20,Ambient_HW,Watered,0,0,43.4333333333333,20.1333333333333,22.0666666666667,11.4
Picea engelmannii,Engelman Spruce,PIEN,21,Ambient,Drought,10,50,24.26,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,21,Ambient,Watered,0,0,67.2,19.9333333333333,20.7,8.86666666666667
Picea engelmannii,Engelman Spruce,PIEN,21,Ambient_HW,Drought,10,50,22.7,NA,NA,NA
