Species,SpeciesID,Week,Weight_g,Porometer,PercentBrown,Dead
PIFL,PIFL14,18,347,NA,10,alive
PIFL,PIFL14,18.5,NA,NA,10,alive
PIFL,PIFL14,19,340,26.8,10,alive
PIFL,PIFL14,19.5,NA,NA,10,alive
PIFL,PIFL14,2,645,270.6,10,alive
PIFL,PIFL14,2.5,NA,NA,25,alive
PIFL,PIFL14,20,331,53.1,10,alive
PIFL,PIFL14,20.5,NA,NA,10,alive
PIFL,PIFL14,21,327,43.7,10,alive
PIFL,PIFL14,21.5,NA,NA,10,alive
PIFL,PIFL14,22,324,20.4,10,alive
PIFL,PIFL14,22.5,NA,NA,10,alive
PIFL,PIFL14,23,323,23.3,25,alive
PIFL,PIFL14,23.5,NA,NA,50,alive
PIFL,PIFL14,24,323,46.1,50,alive
PIFL,PIFL14,24.5,NA,NA,75,alive
PIFL,PIFL14,25,323,65.8,50,alive
PIFL,PIFL14,25.5,NA,NA,75,alive
PIFL,PIFL14,26,323,39.8,75,alive
PIFL,PIFL14,26.5,NA,NA,75,alive
PIFL,PIFL14,27,322,42.8,75,dead
PIFL,PIFL14,27.5,NA,NA,75,dead
PIFL,PIFL14,28,321,23.8,75,dead
PIFL,PIFL14,28.5,NA,NA,75,dead
PIFL,PIFL14,29,321,31,75,dead
PIFL,PIFL14,29.5,NA,NA,NA,dead
PIFL,PIFL14,3,638,292.3,25,alive
PIFL,PIFL14,3.5,NA,NA,25,alive
PIFL,PIFL14,30,NA,NA,NA,dead
PIFL,PIFL14,30.5,NA,NA,NA,dead
PIFL,PIFL14,31,NA,NA,NA,dead
PIFL,PIFL14,31.5,NA,NA,NA,dead
PIFL,PIFL14,32,NA,NA,NA,dead
PIFL,PIFL14,32.5,NA,NA,NA,dead
PIFL,PIFL14,33,NA,NA,NA,dead
PIFL,PIFL14,33.5,NA,NA,NA,dead
PIFL,PIFL14,34,NA,NA,NA,dead
PIFL,PIFL14,34.5,NA,NA,NA,dead
PIFL,PIFL14,35,NA,NA,NA,dead
PIFL,PIFL14,35.5,NA,NA,NA,dead
PIFL,PIFL14,36,NA,NA,NA,dead
PIFL,PIFL14,4,634,222.1,10,alive
PIFL,PIFL14,4.5,NA,NA,25,alive
PIFL,PIFL14,5,628,182.5,10,alive
PIFL,PIFL14,5.5,NA,NA,25,alive
PIFL,PIFL14,6,616,159.5,10,alive
PIFL,PIFL14,6.5,NA,NA,10,alive
PIFL,PIFL14,7,606,191.3,10,alive
PIFL,PIFL14,7.5,NA,NA,NA,alive
PIFL,PIFL14,8,525,230.5,10,alive
PIFL,PIFL14,8.5,NA,NA,10,alive
PIFL,PIFL14,9,502,212.4,10,alive
PIFL,PIFL14,9.5,NA,NA,10,alive
PIFL,PIFL15,1,668,189.1,10,alive
PIFL,PIFL15,1.5,NA,NA,10,alive
PIFL,PIFL15,10,507,200.9,10,alive
PIFL,PIFL15,10.5,NA,NA,10,alive
PIFL,PIFL15,11,471,244.8,10,alive
PIFL,PIFL15,11.5,NA,NA,10,alive
PIFL,PIFL15,12,444,209.1,10,alive
PIFL,PIFL15,12.5,NA,NA,10,alive
PIFL,PIFL15,13,424,115.7,10,alive
PIFL,PIFL15,13.5,NA,NA,10,alive
PIFL,PIFL15,14,406,156.4,10,alive
PIFL,PIFL15,14.5,NA,NA,10,alive
PIFL,PIFL15,15,394,188.1,10,alive
PIFL,PIFL15,15.5,NA,NA,10,alive
PIFL,PIFL15,16,NA,89.7,NA,alive
PIFL,PIFL15,16.5,NA,NA,10,alive
PIFL,PIFL15,17,375,NA,10,alive
PIFL,PIFL15,17.5,NA,NA,10,alive
PIFL,PIFL15,18,363,NA,10,alive
PIFL,PIFL15,18.5,NA,NA,10,alive
PIFL,PIFL15,19,355,40.6,10,alive
PIFL,PIFL15,19.5,NA,NA,10,alive
PIFL,PIFL15,2,662,352.4,10,alive
PIFL,PIFL15,2.5,NA,NA,10,alive
PIFL,PIFL15,20,347,52.9,10,alive
PIFL,PIFL15,20.5,NA,NA,10,alive
PIFL,PIFL15,21,335,45,10,alive
PIFL,PIFL15,21.5,NA,NA,10,alive
